排行	股票		總市值	成交		漲跌		最高價	最低價	成交張
71	致　茂 (2360)	687.86	167.00	+8.00	168.00	161.00	4,059	
72	大聯大 (3702)	676.19	37.05	+0.40	37.25	36.80	5,944	
73	緯　創 (3231)	676.18	24.60	+0.10	25.15	24.30	23,925	
74	美食-KY (2723)	665.01	408.00	+3.50	412.00	403.00	101	
75	聯　強 (2347)	649.66	38.95	+0.65	39.60	38.45	4,335	
76	佳　格 (1227)	630.50	68.90	-0.10	69.50	68.90	759	
77	長榮航 (2618)	623.93	14.95	-0.15	15.15	14.95	6,217	
78	長　榮 (2603)	621.92	15.50	-0.10	15.75	15.50	12,160	
79	華　航 (2610)	620.96	11.35	+0.05	11.50	11.30	8,982	
80	大　同 (2371)	607.11	25.95	+0.45	26.40	25.60	22,459	
81	GIS-KY (6456)	602.50	177.50	+0.50	185.00	177.50	8,563	
82	巨　大 (9921)	598.23	159.50	+2.50	161.50	156.00	494	
83	台灣高鐵 (2633)	597.94	22.75	+0.05	22.80	22.60	2,979	
84	智　邦 (2345)	594.34	107.50	+2.50	108.00	106.00	3,019	
85	晶　電 (2448)	582.46	53.50	+1.20	55.60	53.20	53,055	
86	群　聯 (8299)	573.48	291.00	+2.00	298.00	289.50	997	
87	瑞　昱 (2379)	569.82	112.50	－－	114.00	112.00	1,309	
88	華　新 (1605)	568.85	16.90	+0.30	16.95	16.70	17,187	
89	矽力-KY (6415)	563.13	642.00	+2.00	651.00	635.00	213	
90	中美晶 (5483)	546.47	92.30	-1.30	96.50	92.20	9,402	
91	元　太 (8069)	545.14	47.80	-0.30	48.55	47.70	7,733	
92	潤泰新 (9945)	539.25	32.25	－－	32.50	32.15	2,933	
93	臺企銀 (2834)	536.72	8.73	+0.03	8.83	8.72	31,284	
94	東　元 (1504)	530.71	26.50	+0.20	26.50	26.25	2,008	
95	福　懋 (1434)	528.14	31.35	+0.10	31.55	31.30	703	
96	興富發 (2542)	522.07	44.75	+0.35	44.95	44.50	1,255	
97	群　光 (2385)	521.00	72.30	+0.30	72.70	71.90	1,035	
98	台　玻 (1802)	517.63	17.80	+0.40	17.95	17.45	3,540	
99	宏達電 (2498)	513.01	62.50	+0.50	63.70	62.40	4,967	
100	臻鼎-KY (4958)	511.01	63.50	+1.80	64.30	62.10	3,771	
101	健　鼎 (3044)	499.32	95.00	+2.50	95.60	93.30	1,788	
102	中　裕 (4147)	496.92	198.50	+1.00	200.50	195.50	579	
103	潤泰全 (2915)	477.31	50.70	-0.10	51.70	50.60	4,062	
104	頎　邦 (6147)	459.95	70.30	+5.30	70.70	65.20	25,325	
105	京城銀 (2809)	458.77	39.85	-0.05	40.20	39.70	1,440	
106	技　嘉 (2376)	456.53	72.10	-0.40	75.60	72.00	9,529	
107	精　華 (1565)	448.20	889.00	+31.00	897.00	864.00	347	
108	譜瑞-KY (4966)	431.07	550.00	－－	558.00	549.00	320	
109	華　通 (2313)	427.27	35.85	+2.55	36.30	33.60	30,505	
110	富邦媒 (8454)	419.07	295.00	+7.50	296.50	288.00	286	
111	創　意 (3443)	413.42	308.50	-9.50	335.00	306.00	7,883	
112	中　保 (9917)	407.43	90.30	+0.10	90.60	90.20	33	
113	鎧勝-KY (5264)	406.88	96.60	+1.60	98.10	95.40	3,432	
114	亞太電 (3682)	406.61	9.46	-0.02	9.52	9.46	3,058	
115	全　家 (5903)	406.26	182.00	－－	182.50	182.00	43	
116	華新科 (2492)	404.67	83.30	-2.40	90.00	83.30	9,220	
117	川　湖 (2059)	404.06	424.00	-2.00	429.00	422.00	199	
118	萬　海 (2615)	401.51	18.10	-0.15	18.30	18.10	1,245	
119	佳世達 (2352)	399.26	20.30	+0.20	20.45	20.10	4,786	
120	旭　隼 (6409)	393.44	500.00	－－	504.00	498.50	72	
